years_experience,skills_match,country,job_type,education,company_size,num_applications,got_offer
7,10,Poland,remote,bootcamp,medium,7,1
11,8,Lithuania,hybrid,bootcamp,large,15,1
1,2,Ukraine,remote,master,medium,25,0
0,1,USA,remote,bootcamp,medium,3,0
6,0,UK,onsite,master,large,30,0
6,2,Germany,hybrid,bachelor,small,14,0
13,4,Lithuania,onsite,self-taught,small,4,1
7,10,UK,hybrid,phd,large,36,1
4,1,Netherlands,hybrid,bachelor,small,3,0
2,2,Lithuania,onsite,master,medium,5,0
11,3,Poland,hybrid,bachelor,medium,25,1
7,6,Spain,hybrid,phd,medium,31,1
5,2,USA,remote,self-taught,small,11,0
10,8,Ukraine,hybrid,phd,small,8,1
2,7,Netherlands,hybrid,master,large,26,0
0,3,Netherlands,onsite,phd,medium,2,0
2,0,Germany,onsite,bachelor,large,28,0
4,0,Lithuania,hybrid,bootcamp,small,48,0
14,0,Germany,remote,bachelor,large,10,0
13,0,Spain,remote,master,small,39,0
2,7,UK,onsite,self-taught,medium,37,0
0,2,Spain,hybrid,phd,medium,39,0
4,5,UK,hybrid,self-taught,small,21,0
9,2,Germany,remote,master,small,28,0
6,10,USA,remote,phd,small,38,1
14,4,Spain,remote,bachelor,medium,33,1
13,6,Germany,onsite,bachelor,small,11,1
6,1,Lithuania,hybrid,master,medium,45,0
10,5,Germany,onsite,phd,large,44,1
8,5,Germany,hybrid,bachelor,medium,1,0
14,10,Poland,onsite,master,large,47,1
14,2,Spain,hybrid,master,medium,33,1
9,5,Ukraine,remote,self-taught,medium,3,1
9,9,USA,remote,bachelor,small,26,1
11,9,USA,remote,phd,medium,15,1
12,4,Poland,onsite,bachelor,small,41,1
2,1,UK,remote,bachelor,small,14,0
14,8,Netherlands,hybrid,bachelor,small,23,1
6,7,UK,onsite,master,medium,8,1
0,2,USA,hybrid,bootcamp,small,36,0
3,7,Germany,onsite,bootcamp,large,20,1
12,8,Poland,hybrid,self-taught,large,6,1
3,2,Lithuania,hybrid,bachelor,medium,33,0
13,2,Spain,onsite,bootcamp,small,28,0
4,1,Spain,onsite,self-taught,large,38,0
6,7,Ukraine,remote,master,medium,30,1
6,9,Spain,remote,bachelor,medium,46,1
12,0,Germany,hybrid,phd,medium,43,1
14,7,Lithuania,hybrid,master,medium,17,1
10,6,Poland,hybrid,self-taught,medium,9,1
12,6,Poland,onsite,master,small,28,1
3,2,Spain,onsite,phd,small,7,0
12,0,Lithuania,remote,master,small,46,1
6,3,Lithuania,hybrid,self-taught,small,28,0
10,8,Lithuania,remote,phd,medium,17,1
2,4,USA,onsite,phd,medium,40,0
5,0,USA,onsite,master,large,48,0
11,4,Spain,onsite,phd,large,44,1
1,7,Lithuania,remote,master,small,44,0
9,7,Netherlands,onsite,bachelor,medium,5,1
12,4,Lithuania,hybrid,phd,large,5,1
13,8,Poland,remote,master,large,14,1
8,0,Poland,onsite,bachelor,large,6,0
4,3,Spain,remote,phd,large,7,0
5,2,Netherlands,remote,bachelor,small,17,0
11,1,Lithuania,onsite,phd,medium,9,0
11,7,UK,onsite,self-taught,small,31,1
11,6,Netherlands,remote,self-taught,large,22,1
11,8,Ukraine,remote,master,large,45,1
3,1,Spain,onsite,bootcamp,medium,9,0
13,3,Poland,hybrid,self-taught,medium,16,1
13,5,UK,remote,bootcamp,small,36,1
10,10,Poland,remote,bachelor,medium,34,1
9,2,USA,hybrid,bachelor,small,45,0
6,7,Spain,onsite,bootcamp,small,13,1
11,2,Spain,onsite,master,large,19,0
8,1,Lithuania,hybrid,phd,small,12,0
6,2,Lithuania,onsite,bootcamp,large,36,0
13,10,USA,onsite,bootcamp,small,10,1
0,5,UK,remote,bootcamp,small,16,0
0,1,Ukraine,remote,bootcamp,medium,28,0
8,7,Germany,remote,bootcamp,medium,19,1
10,0,Netherlands,hybrid,master,large,40,1
13,6,Germany,onsite,self-taught,medium,6,1
8,1,Germany,onsite,phd,small,4,0
3,9,Spain,remote,self-taught,large,30,1
12,5,Netherlands,remote,bootcamp,large,39,1
8,1,Spain,hybrid,self-taught,large,31,0
2,1,Ukraine,onsite,master,small,46,0
6,9,Netherlands,hybrid,bachelor,medium,27,1
5,7,Poland,onsite,self-taught,large,45,0
7,1,Spain,hybrid,phd,small,21,0
10,6,Spain,remote,master,medium,37,1
8,2,Spain,hybrid,bachelor,medium,9,0
13,7,UK,hybrid,master,large,35,1
4,6,USA,remote,bootcamp,small,42,1
0,7,Spain,onsite,bachelor,medium,47,0
2,6,Ukraine,onsite,phd,small,21,0
9,10,Lithuania,remote,bachelor,medium,17,1
11,5,Lithuania,hybrid,phd,large,24,1
7,6,Netherlands,hybrid,bootcamp,large,31,1
14,4,Poland,hybrid,phd,medium,6,1
10,6,USA,onsite,master,small,35,1
5,0,UK,hybrid,self-taught,medium,37,0
7,0,Netherlands,onsite,master,small,13,0
8,8,Lithuania,hybrid,master,medium,25,1
3,4,USA,remote,bachelor,large,32,0
0,4,USA,remote,bootcamp,small,1,0
13,2,Poland,onsite,self-taught,large,49,0
0,4,Ukraine,onsite,phd,small,35,0
9,2,USA,remote,bachelor,medium,19,0
3,8,Spain,remote,bootcamp,large,12,1
11,8,USA,hybrid,self-taught,large,40,1
13,5,Poland,remote,master,small,40,1
6,0,Netherlands,onsite,bootcamp,small,47,0
1,6,Poland,remote,bootcamp,small,43,0
2,6,UK,onsite,bootcamp,large,20,0
0,9,Poland,onsite,master,medium,33,0
4,9,Lithuania,hybrid,phd,small,29,1
0,3,Spain,hybrid,bachelor,medium,16,0
7,7,Ukraine,hybrid,phd,small,14,1
0,5,Lithuania,hybrid,self-taught,medium,7,0
10,3,Netherlands,remote,bachelor,small,6,1
0,3,Germany,hybrid,self-taught,medium,21,0
1,1,Netherlands,remote,master,large,36,0
1,1,Spain,hybrid,phd,small,22,0
11,3,USA,hybrid,bootcamp,small,40,1
5,4,Poland,onsite,bachelor,large,19,0
6,7,Germany,remote,bootcamp,small,25,0
4,5,Spain,onsite,self-taught,small,3,1
0,3,Lithuania,hybrid,bootcamp,large,36,0
0,10,Poland,remote,bootcamp,large,45,1
2,6,Netherlands,hybrid,master,medium,34,0
13,7,Lithuania,onsite,master,large,11,1
1,1,Spain,remote,phd,large,48,0
4,6,Spain,onsite,self-taught,small,42,1
11,1,Netherlands,hybrid,master,large,47,0
9,1,Germany,hybrid,master,small,27,0
5,7,Netherlands,hybrid,phd,large,42,1
6,1,USA,remote,bachelor,large,2,0
3,10,Lithuania,onsite,phd,medium,6,1
6,8,Germany,onsite,bootcamp,large,46,0
10,0,Poland,hybrid,bootcamp,large,2,0
7,8,UK,onsite,master,small,42,1
10,0,USA,remote,master,small,17,0
0,9,Germany,hybrid,phd,medium,40,0
14,9,UK,hybrid,phd,large,48,1
5,1,UK,hybrid,self-taught,small,14,0
7,5,Lithuania,remote,bootcamp,large,10,1
4,5,Spain,hybrid,phd,medium,45,1
3,0,Poland,hybrid,bachelor,small,33,0
1,6,Netherlands,hybrid,self-taught,small,42,0
5,7,Lithuania,hybrid,phd,medium,12,1
5,1,USA,onsite,master,large,32,0
10,7,Ukraine,hybrid,phd,small,49,1
14,8,UK,remote,master,small,24,1
0,5,USA,hybrid,master,medium,14,0
8,4,UK,hybrid,bootcamp,medium,5,1
11,8,Spain,onsite,bootcamp,medium,5,1
10,10,Ukraine,hybrid,phd,large,47,1
5,8,Spain,onsite,phd,large,32,1
12,0,Poland,remote,bachelor,large,45,0
2,10,Netherlands,onsite,self-taught,medium,49,1
3,2,Poland,hybrid,self-taught,small,33,0
11,8,Spain,remote,phd,large,46,1
10,10,Spain,hybrid,bootcamp,medium,4,1
3,1,USA,onsite,bachelor,large,30,0
2,3,Spain,remote,self-taught,small,41,0
9,3,Ukraine,remote,phd,small,17,1
2,1,Ukraine,onsite,bootcamp,medium,3,0
14,2,Germany,onsite,bootcamp,small,13,1
2,2,UK,remote,bootcamp,medium,44,0
3,0,Lithuania,remote,master,medium,48,0
6,5,Spain,onsite,bootcamp,medium,36,0
3,7,Poland,hybrid,phd,medium,18,1
8,2,Netherlands,remote,bachelor,small,23,0
0,4,UK,onsite,phd,small,35,0
7,0,UK,hybrid,bootcamp,small,49,0
6,9,Netherlands,remote,bachelor,small,33,1
1,6,Netherlands,remote,self-taught,medium,36,1
7,9,UK,onsite,self-taught,medium,17,1
0,0,Germany,hybrid,phd,small,39,0
10,10,Poland,remote,bachelor,large,34,1
11,8,Germany,hybrid,phd,large,12,1
8,7,Spain,hybrid,bachelor,large,5,1
8,6,Lithuania,remote,bachelor,small,48,1
1,9,Netherlands,hybrid,phd,medium,40,1
6,6,Ukraine,remote,bachelor,medium,27,0
14,4,Poland,hybrid,bootcamp,large,40,1
13,4,Netherlands,remote,bachelor,large,13,1
9,10,Germany,onsite,bachelor,medium,26,1
2,4,USA,remote,phd,large,14,0
6,0,Spain,remote,self-taught,large,32,0
11,7,Lithuania,remote,master,medium,11,1
9,10,Spain,hybrid,bachelor,large,38,1
8,0,USA,onsite,master,large,16,0
3,3,Lithuania,hybrid,bachelor,small,22,0
11,8,USA,hybrid,phd,large,47,1
0,8,Spain,remote,phd,small,16,1
1,4,Germany,hybrid,bachelor,medium,13,0
0,3,UK,remote,phd,small,12,0
13,2,Spain,onsite,phd,medium,18,1
11,2,Spain,hybrid,bachelor,small,29,0
4,4,Spain,hybrid,self-taught,small,18,0
4,9,Poland,hybrid,bachelor,small,46,1
10,0,USA,remote,self-taught,large,2,0
6,4,Ukraine,remote,phd,large,2,1
8,5,USA,hybrid,self-taught,large,3,0
8,6,Netherlands,hybrid,phd,large,29,1
2,8,USA,onsite,self-taught,large,8,1
2,2,Netherlands,onsite,self-taught,small,11,0
2,1,Poland,onsite,bachelor,large,12,0
3,2,Germany,onsite,self-taught,medium,32,0
7,8,Netherlands,onsite,phd,small,4,1
5,6,Spain,remote,bachelor,small,9,1
7,8,Germany,onsite,self-taught,medium,24,1
0,1,UK,onsite,bachelor,large,49,0
7,4,Poland,hybrid,master,medium,16,0
3,3,USA,remote,bachelor,small,17,0
10,1,Netherlands,onsite,master,small,47,0
0,8,Ukraine,onsite,master,small,22,1
7,8,Spain,onsite,bachelor,medium,7,1
3,5,Lithuania,hybrid,phd,large,10,1
5,10,UK,hybrid,phd,small,29,1
7,5,Lithuania,hybrid,phd,large,36,1
3,7,Germany,onsite,bootcamp,small,24,0
13,5,USA,hybrid,master,large,46,1
2,0,Ukraine,onsite,bachelor,medium,14,0
13,3,Lithuania,remote,phd,small,14,1
8,6,Germany,onsite,phd,small,25,1
2,1,Poland,hybrid,bachelor,small,46,0
8,8,Germany,remote,master,medium,22,1
12,7,UK,onsite,bachelor,medium,47,1
1,7,Ukraine,remote,bootcamp,large,23,1
13,6,Ukraine,remote,bootcamp,medium,32,1
1,3,Germany,remote,bachelor,small,26,0
1,1,UK,onsite,master,large,27,0
5,2,Germany,hybrid,phd,medium,45,0
2,5,Ukraine,onsite,bootcamp,large,12,0
12,4,Ukraine,hybrid,bootcamp,large,19,1
8,7,Spain,onsite,master,large,19,1
3,5,Germany,onsite,bootcamp,small,34,0
0,5,Netherlands,onsite,bootcamp,small,32,0
3,0,Germany,hybrid,master,medium,29,0
0,3,Ukraine,onsite,bachelor,small,21,0
13,4,Spain,remote,phd,large,35,1
4,10,Spain,onsite,phd,large,42,1
3,2,Poland,remote,bootcamp,small,5,0
7,8,UK,hybrid,phd,large,12,1
7,0,USA,hybrid,bachelor,small,7,0
6,5,Lithuania,onsite,bootcamp,large,41,0
2,5,Lithuania,onsite,phd,medium,2,0
0,9,Germany,onsite,self-taught,medium,25,0
0,4,Poland,remote,self-taught,small,10,0
11,4,Germany,hybrid,self-taught,small,38,0
10,9,Lithuania,remote,self-taught,small,44,1
2,4,UK,remote,self-taught,small,6,0
5,5,Ukraine,onsite,bootcamp,small,27,0
6,7,UK,onsite,master,large,35,0
5,1,UK,remote,master,medium,10,0
13,5,Spain,remote,bootcamp,large,9,1
13,0,Ukraine,onsite,bootcamp,medium,20,1
5,3,USA,onsite,bachelor,large,37,0
5,9,Ukraine,remote,master,large,35,1
12,2,Poland,onsite,self-taught,large,37,1
2,8,Spain,onsite,bootcamp,small,40,0
5,2,USA,remote,self-taught,medium,8,0
7,5,Poland,remote,master,small,46,1
10,0,Poland,hybrid,phd,small,31,1
10,5,Lithuania,remote,phd,large,49,1
1,3,Spain,onsite,bootcamp,medium,43,0
4,7,Poland,remote,bachelor,medium,16,0
13,10,Netherlands,remote,self-taught,medium,28,1
0,8,UK,remote,bootcamp,medium,6,0
11,3,Poland,hybrid,bachelor,small,32,0
14,9,USA,hybrid,self-taught,small,28,1
0,9,Lithuania,onsite,master,medium,11,1
4,5,Germany,hybrid,phd,small,42,0
11,0,UK,remote,bachelor,medium,23,0
12,3,Lithuania,hybrid,self-taught,small,30,1
2,6,Germany,remote,bootcamp,large,9,0
3,0,Spain,hybrid,self-taught,large,28,0
2,7,Spain,hybrid,bootcamp,medium,24,0
0,9,Poland,hybrid,phd,medium,28,1
0,10,Netherlands,remote,phd,small,24,0
11,5,Spain,hybrid,self-taught,medium,15,1
11,4,Ukraine,remote,self-taught,medium,39,1
13,9,Poland,remote,bootcamp,small,33,1
12,10,UK,onsite,bootcamp,medium,47,1
13,8,Lithuania,hybrid,bachelor,medium,34,1
4,1,Spain,onsite,bachelor,large,22,0
5,4,Ukraine,onsite,bachelor,large,29,0
2,5,Lithuania,remote,self-taught,large,34,0
11,6,Lithuania,hybrid,bachelor,medium,42,1
8,4,Netherlands,remote,self-taught,small,47,0
4,8,Spain,remote,phd,large,10,1
7,0,Lithuania,hybrid,master,medium,45,0
12,6,Netherlands,remote,phd,large,30,1
0,9,Netherlands,hybrid,self-taught,small,11,0
13,6,Spain,hybrid,self-taught,small,34,1
4,3,Netherlands,remote,master,small,21,0
14,8,Spain,remote,bootcamp,small,13,1
2,10,Ukraine,onsite,bootcamp,small,25,1
11,4,Spain,remote,bootcamp,small,21,1
0,3,Germany,hybrid,bachelor,medium,1,0
3,6,Lithuania,onsite,bootcamp,large,5,0
14,3,Ukraine,hybrid,bachelor,small,22,1
12,2,USA,onsite,bachelor,large,7,1
4,8,Spain,remote,bootcamp,large,13,1
6,10,Lithuania,remote,bootcamp,medium,45,1
0,7,UK,remote,master,small,23,0
2,0,Netherlands,hybrid,master,small,21,0
1,6,Poland,onsite,bachelor,medium,6,0
8,8,Spain,hybrid,master,medium,20,1
9,7,Netherlands,onsite,bachelor,medium,12,1
14,7,Netherlands,remote,self-taught,medium,40,1
5,5,Netherlands,hybrid,bachelor,medium,9,0
9,10,Netherlands,remote,bachelor,large,28,1
2,3,Netherlands,hybrid,master,medium,11,0
7,7,Spain,remote,self-taught,small,32,1
13,2,UK,hybrid,phd,small,11,1
7,8,USA,hybrid,phd,medium,24,1
1,1,Germany,onsite,phd,medium,15,0
14,1,Netherlands,remote,self-taught,medium,41,0
5,6,Netherlands,onsite,bootcamp,medium,35,0
6,9,Germany,onsite,self-taught,medium,17,1
1,3,UK,remote,master,small,25,0
14,9,Ukraine,hybrid,bachelor,large,49,1
10,7,UK,onsite,bachelor,medium,35,1
9,8,Ukraine,remote,master,medium,19,1
1,6,Spain,hybrid,master,medium,41,0
9,4,Lithuania,onsite,bachelor,small,31,1
0,7,Poland,onsite,bootcamp,small,17,0
7,3,Poland,onsite,bootcamp,large,23,0
0,1,Lithuania,hybrid,bootcamp,large,47,0
8,10,Spain,onsite,master,large,1,1
10,5,Poland,hybrid,bachelor,large,10,1
5,8,UK,onsite,bachelor,small,8,1
6,0,Germany,remote,bachelor,large,42,0
12,10,Lithuania,onsite,self-taught,medium,26,1
9,9,UK,remote,self-taught,small,34,1
6,6,USA,remote,phd,small,19,1
9,9,Spain,remote,self-taught,small,14,1
2,8,Lithuania,hybrid,bootcamp,medium,8,0
1,9,Poland,remote,bootcamp,small,1,1
8,8,Spain,onsite,bootcamp,medium,48,1
7,9,Germany,hybrid,bootcamp,large,25,1
12,10,Spain,remote,phd,small,24,1
11,2,Spain,hybrid,bootcamp,medium,47,0
9,10,Germany,hybrid,master,small,20,1
6,4,Netherlands,hybrid,master,large,30,1
8,7,Germany,onsite,master,small,5,1
3,7,UK,remote,self-taught,large,3,0
12,3,Spain,hybrid,bachelor,small,32,1
3,10,Ukraine,hybrid,phd,medium,17,1
0,10,Germany,hybrid,master,large,42,1
7,0,Netherlands,remote,master,small,5,0
13,0,UK,hybrid,bootcamp,large,11,0
13,3,Ukraine,hybrid,master,large,38,1
11,5,Ukraine,onsite,bootcamp,medium,4,0
2,7,Lithuania,remote,bootcamp,medium,39,0
6,5,Germany,onsite,bachelor,medium,19,0
14,8,Germany,remote,self-taught,medium,39,1
11,8,Spain,remote,bootcamp,large,46,1
1,1,UK,remote,bootcamp,large,49,0
1,9,Lithuania,onsite,bachelor,small,23,0
6,0,USA,onsite,bootcamp,small,17,0
14,1,USA,onsite,phd,small,13,1
5,4,Poland,onsite,self-taught,medium,27,0
2,3,Germany,hybrid,phd,large,1,0
8,3,Germany,hybrid,master,large,2,0
9,8,Lithuania,hybrid,self-taught,small,18,1
14,10,Netherlands,remote,master,small,36,1
13,7,USA,hybrid,bootcamp,large,45,1
12,5,Poland,remote,bachelor,medium,33,1
5,0,Lithuania,onsite,phd,small,36,0
9,1,Germany,remote,master,small,2,0
9,5,USA,remote,bootcamp,large,4,1
5,10,UK,hybrid,phd,large,16,1
0,1,Poland,onsite,phd,small,4,0
3,9,Spain,onsite,master,small,9,1
9,4,USA,hybrid,bootcamp,medium,49,0
5,4,Poland,onsite,bachelor,medium,21,0
14,5,Lithuania,onsite,master,medium,23,1
5,5,Spain,onsite,phd,medium,2,0
10,5,Poland,hybrid,phd,small,3,0
11,1,Poland,onsite,self-taught,small,23,0
4,9,Ukraine,remote,bootcamp,small,26,0
0,2,Ukraine,remote,self-taught,medium,47,0
7,5,Ukraine,onsite,bachelor,small,7,1
4,7,Germany,hybrid,master,large,36,1
11,10,Netherlands,hybrid,phd,medium,44,1
11,0,USA,hybrid,bootcamp,large,33,0
11,0,Germany,onsite,phd,medium,49,0
4,10,UK,onsite,self-taught,small,36,1
6,1,Spain,remote,self-taught,medium,4,0
3,10,Netherlands,hybrid,master,large,23,1
5,5,Poland,remote,bootcamp,medium,25,1
12,8,Germany,remote,bootcamp,large,41,1
3,3,Ukraine,hybrid,master,small,26,0
13,2,Netherlands,onsite,self-taught,large,28,1
14,7,UK,onsite,self-taught,small,28,1
2,10,USA,remote,self-taught,large,21,1
6,9,UK,remote,phd,small,10,1
7,8,Spain,remote,bachelor,large,27,1
3,10,Lithuania,remote,self-taught,small,15,1
12,4,Germany,hybrid,bachelor,small,17,1
1,8,Ukraine,remote,bachelor,small,39,0
11,1,Spain,remote,bootcamp,large,35,0
9,2,Lithuania,onsite,master,large,5,0
13,6,Ukraine,onsite,phd,small,16,1
2,6,Ukraine,onsite,bachelor,medium,23,0
0,5,Ukraine,hybrid,phd,small,39,0
7,5,Germany,hybrid,bootcamp,medium,48,1
14,1,Spain,onsite,self-taught,small,9,1
2,9,Ukraine,onsite,bachelor,large,33,1
11,5,UK,remote,master,medium,35,1
9,3,Spain,remote,bootcamp,large,40,0
6,2,Netherlands,hybrid,phd,medium,24,0
9,10,UK,hybrid,self-taught,medium,24,1
4,1,Germany,remote,phd,medium,24,0
9,0,Ukraine,onsite,master,medium,19,0
4,10,Spain,remote,bachelor,large,39,0
13,10,Poland,hybrid,master,medium,25,1
6,4,Germany,hybrid,phd,small,31,1
14,1,Spain,remote,phd,small,38,1
8,1,Netherlands,remote,master,medium,25,0
11,6,Ukraine,remote,master,large,27,1
4,7,Lithuania,hybrid,master,large,32,0
0,9,Ukraine,onsite,self-taught,medium,11,0
9,7,Lithuania,remote,phd,large,5,1
9,3,Poland,hybrid,bootcamp,large,44,0
0,0,Germany,hybrid,self-taught,large,33,0
14,10,Netherlands,hybrid,self-taught,medium,19,1
1,6,Spain,remote,self-taught,small,43,0
13,0,Spain,remote,bootcamp,small,47,0
5,10,Lithuania,onsite,master,small,16,1
8,3,Netherlands,hybrid,phd,small,35,1
7,7,UK,remote,bachelor,small,11,1
12,1,Poland,hybrid,bachelor,large,11,0
4,5,Lithuania,hybrid,phd,large,10,0
0,5,Lithuania,onsite,bootcamp,large,34,0
12,8,Poland,remote,bachelor,medium,5,1
6,4,Germany,remote,self-taught,large,23,1
14,9,Spain,hybrid,bachelor,small,25,1
4,3,Germany,hybrid,phd,large,29,0
5,4,Netherlands,onsite,self-taught,small,40,0
12,9,UK,onsite,bachelor,large,13,1
6,10,Ukraine,onsite,phd,small,47,1
